Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
AU	15	Food & Drinks				Butter & Margarine			258872	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Butter & Margarine [258872]	Butter & Margarine	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258872
AU	15	Food & Drinks				Cream & Buttermilk			258873	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Cream & Buttermilk [258873]	Cream & Buttermilk	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258873
AU	15	Food & Drinks				Custard			258874	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Custard [258874]	Custard	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258874
AU	15	Food & Drinks				Yogurt			258875	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Yogurt [258875]	Yogurt	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258875
AU	15	Food & Drinks				Non Dairy Yogurt & Substitutes			258876	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Non Dairy Yogurt & Substitutes [258876]	Non Dairy Yogurt & Substitutes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258876
AU	15	Food & Drinks				Cheese			258877	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Cheese [258877]	Cheese	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258877
AU	15	Food & Drinks				Desserts			258878	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Desserts [258878]	Desserts	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258878
AU	15	Food & Drinks			Chilled Juices & Smoothies				258879	3	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Chilled Juices & Smoothies [258879]	Chilled Juices & Smoothies	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258879
AU	15	Food & Drinks			Fresh Fruit & Vegetables				259800	3	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Fruit & Vegetables [259800]	Fresh Fruit & Vegetables	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259800
AU	15	Food & Drinks			Fruit & Veg Boxes				259801	3	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fruit & Veg Boxes [259801]	Fruit & Veg Boxes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259801
AU	15	Food & Drinks			Fresh Herbs				259802	3	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Herbs [259802]	Fresh Herbs	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259802
AU	15	Food & Drinks			Fresh Meat & Poultry				259803	3	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Meat & Poultry [259803]	Fresh Meat & Poultry	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_259803
AU	15	Food & Drinks				Poultry			259804	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Meat & Poultry [259803] > Poultry [259804]	Poultry	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259804
AU	15	Food & Drinks				Meat			259805	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Meat & Poultry [259803] > Meat [259805]	Meat	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259805
AU	15	Food & Drinks			Fresh Seafood				259806	3	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Seafood [259806]	Fresh Seafood	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_259806
AU	15	Food & Drinks				Chilled Fish			259807	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Seafood [259806] > Chilled Fish [259807]	Chilled Fish	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259807
AU	15	Food & Drinks				Shellfish & Crustaceans			259808	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Seafood [259806] > Shellfish & Crustaceans [259808]	Shellfish & Crustaceans	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259808
AU	15	Food & Drinks			Fresh Meat Substitutes				259809	3	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Fresh Meat Substitutes [259809]	Fresh Meat Substitutes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259809
AU	15	Food & Drinks			Prepared Food & Ready Meals				259810	3	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810]	Prepared Food & Ready Meals	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_259810
AU	15	Food & Drinks				Pizza & Garlic Bread			259811	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Pizza & Garlic Bread [259811]	Pizza & Garlic Bread	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259811
AU	15	Food & Drinks				Fresh Pasta & Noodles			259812	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Fresh Pasta & Noodles [259812]	Fresh Pasta & Noodles	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259812
AU	15	Food & Drinks				Sauces, Dressings & Pastes			259813	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Sauces, Dressings & Pastes [259813]	Sauces, Dressings & Pastes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259813
AU	15	Food & Drinks				Ready Meals & Meal Kits			259814	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Ready Meals & Meal Kits [259814]	Ready Meals & Meal Kits	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259814
AU	15	Food & Drinks				Sandwiches			259815	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Sandwiches [259815]	Sandwiches	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259815
AU	15	Food & Drinks				Salads			259816	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Salads [259816]	Salads	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259816
AU	15	Food & Drinks				Vegetable Sides			259817	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Vegetable Sides [259817]	Vegetable Sides	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259817
AU	15	Food & Drinks				Prepared Fruit & Vegetables			259819	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Prepared Fruit & Vegetables [259819]	Prepared Fruit & Vegetables	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259819
AU	15	Food & Drinks				Ready Made Dough & Bases			259827	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Prepared Food & Ready Meals [259810] > Ready Made Dough & Bases [259827]	Ready Made Dough & Bases	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259827
AU	15	Food & Drinks			Deli				259820	3	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Deli [259820]	Deli	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_259820
AU	15	Food & Drinks				Smallgoods & Deli Meat			259821	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Deli [259820] > Smallgoods & Deli Meat [259821]	Smallgoods & Deli Meat	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259821
AU	15	Food & Drinks				Seafood			259822	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Deli [259820] > Seafood [259822]	Seafood	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259822
AU	15	Food & Drinks				Dips & Spreads			259823	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Deli [259820] > Dips & Spreads [259823]	Dips & Spreads	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_259823
