Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
ES	186	Arte y antigüedades			Otros				358	3	Yes	Arte y antigüedades [353] > Forjados: hierro, bronce... [1211] > Otros [358]	Otros	Collectibles		Francesca Contessotto	Green					UK|DE|ES							N	Y	186_358
ES	186	Arte y antigüedades		Litografías y grabados					150982	2	No	Arte y antigüedades [353] > Litografías y grabados [150982]	Litografías y grabados	Collectibles		Francesca Contessotto	Green					ES							N		186_150982
ES	186	Arte y antigüedades			Estampaciones y grabados				10164	3	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Estampaciones y grabados [10164]	Estampaciones y grabados	Collectibles		Francesca Contessotto	Green					ES							N		186_10164
ES	186	Arte y antigüedades			Ex libris				48831	3	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Ex libris [48831]	Ex libris	Collectibles		Francesca Contessotto	Green					US|UK|DE|FR|IT|ES							N		186_48831
ES	186	Arte y antigüedades			Litografías				150983	3	No	Arte y antigüedades [353] > Litografías y grabados [150982] > Litografías [150983]	Litografías	Collectibles		Francesca Contessotto	Green					ES							N		186_150983
ES	186	Arte y antigüedades				Dalí			150984	4	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Litografías [150983] > Dalí [150984]	Dalí	Collectibles		Francesca Contessotto	Green					ES							N		186_150984
ES	186	Arte y antigüedades				Miró			150985	4	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Litografías [150983] > Miró [150985]	Miró	Collectibles		Francesca Contessotto	Green					ES							N		186_150985
ES	186	Arte y antigüedades				Picasso			150986	4	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Litografías [150983] > Picasso [150986]	Picasso	Collectibles		Francesca Contessotto	Green					ES							N		186_150986
ES	186	Arte y antigüedades				Tapies			150987	4	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Litografías [150983] > Tapies [150987]	Tapies	Collectibles		Francesca Contessotto	Green					ES							N		186_150987
ES	186	Arte y antigüedades				Otras			20997	4	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Litografías [150983] > Otras [20997]	Otras	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_20997
ES	186	Arte y antigüedades			Otros				150988	3	Yes	Arte y antigüedades [353] > Litografías y grabados [150982] > Otros [150988]	Otros	Collectibles		Francesca Contessotto	Green					ES							N	Y	186_150988
