Cat ID,Label,Path
836,"Tydol, Veedol & Flying A Advertising","[1, 34, 39, 156204, 836]"
837,Quaker State Advertising,"[1, 34, 39, 156204, 837]"
838,Chevron & Standard Oil Advertising,"[1, 34, 39, 156204, 838]"
839,Exxon Advertising,"[1, 34, 39, 156204, 839]"
840,Collectible Shoe Advertising,"[1, 34, 13583, 840]"
841,Shoe Advertising (1950-1979),"[1, 34, 13583, 840, 841]"
842,Shoe Advertising (1920-1949),"[1, 34, 13583, 840, 842]"
843,Shoe Advertising (Pre-1920),"[1, 34, 13583, 840, 843]"
846,Radio Advertising,"[1, 34, 13585, 846]"
849,Collectible Restaurant & Fast Food Advertising,"[1, 34, 849]"
850,Other Restaurant & Fast Food Advertising,"[1, 34, 849, 850]"
851,Big Boy Advertising,"[1, 34, 849, 851]"
852,Fountain Advertising,"[1, 34, 36, 852]"
853,Canada Dry Advertising,"[1, 34, 36, 853]"
854,Other Pepsi Advertising,"[1, 34, 36, 13612, 854]"
855,7 UP Advertising,"[1, 34, 36, 855]"
856,Squirt Advertising,"[1, 34, 36, 856]"
857,Hires Root Beer Advertising,"[1, 34, 36, 857]"
859,Utility Advertising,"[1, 34, 13585, 859]"
863,Other Tire Advertising,"[1, 34, 13617, 863]"
864,Humble Oil Advertising,"[1, 34, 39, 156204, 864]"
865,Other Coffee & Tea Advertising,"[1, 34, 13587, 10793, 865]"
870,Pottery & Glass,[870]
872,Collectible Candy & Nuts Advertising,"[1, 34, 13587, 872]"
873,Other Candy & Nuts Advertising,"[1, 34, 13587, 872, 873]"
874,M&M's Advertising,"[1, 34, 13587, 872, 874]"
875,Government Advertising,"[1, 34, 875]"
876,Soap & Detergent Advertising,"[1, 34, 13595, 876]"
877,Dr Pepper Advertising,"[1, 34, 36, 877]"
878,Soup Advertising,"[1, 34, 13587, 878]"
879,Telephone Advertising,"[1, 34, 13585, 879]"
885,Collectible Mechanical Banks,"[1, 66503, 885]"
886,Other Collectible Still & Piggy Banks,"[1, 66503, 35736, 886]"
887,Other Shaving Collectibles,"[1, 597, 35986, 887]"
888,Sporting Goods,[888]
889,Collectible Antique Bottles (Pre-1900),"[1, 29797, 39491, 889]"
890,Collectible Bitters Bottles (Pre-1900),"[1, 29797, 39491, 889, 890]"
891,Collectible Flasks (Pre-1900),"[1, 29797, 39491, 889, 891]"
892,Collectible Jars (Pre-1900),"[1, 29797, 39491, 889, 892]"
893,"Collectible Food, Sauce & Condiment Bottles (Pre-1900)","[1, 29797, 39491, 889, 893]"
894,Collectible Ink Bottles (Pre-1900),"[1, 29797, 39491, 889, 894]"
895,Collectible Medicine & Cure Bottles (Pre-1900),"[1, 29797, 39491, 889, 895]"
896,Collectible Mineral Water Bottles (Pre-1900),"[1, 29797, 39491, 889, 896]"
897,Collectible Poison Bottles (Pre-1900),"[1, 29797, 39491, 889, 897]"
898,Casino Collectibles,"[1, 898]"
905,Other Craft Stamping & Embossing,"[14339, 3122, 905]"
907,Holiday & Seasonal Collectibles,"[1, 907]"
914,Collectible Postcards & Supplies,"[1, 914]"
928,Police Collectibles,"[1, 259135, 928]"
929,Collectible Obsolete US Police Badges,"[1, 259135, 928, 167988, 929]"
930,Collectible New York Police Patches,"[1, 259135, 928, 39668, 930]"
931,Collectible Radios,"[1, 29832, 931]"
932,Collectible Transistor Radios,"[1, 29832, 931, 932]"
933,Collectible Tube Radios (1960-Now),"[1, 29832, 931, 38032, 933]"
934,Collectible Radio Manuals,"[1, 29832, 931, 934]"
951,Collectible Lighters,"[1, 593, 951]"
952,Other Collectible Zippo Lighters,"[1, 593, 951, 38042, 952]"
954,Other Crocheting & Knitting Tools & Supplies,"[14339, 160706, 3094, 954]"
957,Other Vintage Accessories,"[11450, 260033, 175759, 182059, 957]"
965,Other Women's Vintage Clothing,"[11450, 260033, 175759, 182047, 965]"
966,Collectible Pens & Writing Instruments,"[1, 966]"
967,Other Collectible Pens,"[1, 966, 7278, 967]"
968,Other Collectible Pencils,"[1, 966, 7282, 968]"
969,Other Collectible Desktop Items,"[1, 966, 28019, 969]"
970,Collectible Inkwells,"[1, 966, 970]"
971,Collectible Pen & Writing Instrument Sets,"[1, 966, 971]"
974,Collectible Cookware,"[1, 13905, 974]"
975,Other Collectible Cookware,"[1, 13905, 974, 975]"
985,Collectible Telephones (1970-Now),"[1, 29832, 38036, 985]"
986,Other Cigar Collectibles,"[1, 593, 11671, 986]"
987,Other Western Americana Collectibles,"[1, 3913, 4007, 987]"
1037,Other Ty Beanbag Plushies,"[220, 49019, 19203, 1037]"
1041,Wind-Up & Walking Toys (1970-Now),"[220, 19071, 19075, 1041]"
1048,Other Equestrian,"[888, 159043, 3153, 1048]"
1059,Men's Clothing,"[11450, 260012, 1059]"
1082,Electronic & Interactive Toys,"[220, 19071, 1082]"
1083,Furby Toys,"[220, 19071, 1082, 1083]"
1084,Tamagotchi,"[220, 19071, 1082, 1084]"
1105,Textbooks,"[267, 184644, 1105]"
1152,Disney Houseware (Pre-1968),"[1, 137, 139, 1152]"
1183,Other Role Playing Games,"[220, 233, 2543, 1183]"
1185,Battery Operated Toys (1970-1989),"[220, 19071, 19072, 1185]"
1187,Space Toys (1970-Now),"[220, 19192, 19200, 1187]"
1188,Toy Models & Kits,"[220, 1188]"
1196,Other Fast Food & Cereal Toys,"[220, 19077, 1196]"
1197,Wooden & Handcrafted Pretend Play Toys,"[220, 19169, 1197]"
1198,Vintage & Antique Toy Parts,"[220, 717, 1198]"
1202,Dollhouses & Dollhouse Miniatures,"[237, 1202]"
1207,Other Architectural Antiques,"[20081, 4707, 1207]"
1210,Other Medical Antiques,"[20081, 20094, 163029, 1210]"
1215,Other US Sterling Silver Antiques,"[20081, 20096, 2213, 1215]"
1216,Other US Silver-Plated Antiques,"[20081, 20096, 2212, 1216]"
1217,Antique Primitives,"[20081, 1217]"
1223,Other PGA Autographed Items,"[64482, 51, 27279, 1223]"
1224,Winter Olympics Autographed Items,"[64482, 51, 23798, 1224]"
1225,Other Racing Autographed Items,"[64482, 51, 1225]"
1226,Tennis Autographed Items,"[64482, 51, 1226]"
1227,Boxing Fan Apparel & Souvenirs,"[64482, 24409, 1227]"
1228,Indy Racing Fan Apparel & Souvenirs,"[64482, 24409, 1228]"
1244,Computer Motherboards,"[58058, 175673, 1244]"
1245,Computer Printers,"[58058, 171961, 1245]"
1249,Video Games & Consoles,[1249]
1261,Other Baby Products,"[2984, 1261]"
1265,Other Wedding & Formal Wear,"[11450, 260033, 3259, 1265]"
1268,Other Industrial Building Materials & Supplies,"[12576, 41498, 1268]"
